"","Parameter","Value","run"
"440","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",14
"441","n_chains","4",14
"442","n_cores","12",14
"443","burnin_steps","181",14
"444","saved_steps","257",14
"445","thin_steps","1",14
"446","verbose","FALSE",14
"447","init.K600.daily","3.5",14
"448","Station 1 Time","2.56 mins",14
"449","model_name","b_Kb_oipi_tr_plrckm.stan",15
"450","engine","stan",15
"451","split_dates","FALSE",15
"452","keep_mcmcs","TRUE",15
"453","keep_mcmc_data","TRUE",15
"454","day_start","4",15
"455","day_end","28",15
"456","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",15
"457","required_timestep","NA",15
"458","K600_lnQ_nodes_centers","-3:3",15
"459","GPP_daily_mu","3",15
"460","GPP_daily_lower","-Inf",15
"461","GPP_daily_sigma","2",15
"462","ER_daily_mu","-7.1",15
"463","ER_daily_upper","Inf",15
"464","ER_daily_sigma","7.1",15
"465","K600_lnQ_nodediffs_sdlog","0.5",15
"466","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",15
"467","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",15
"468","K600_daily_sigma_sigma","0.24",15
"469","err_obs_iid_sigma_scale","0.03",15
"470","err_proc_iid_sigma_scale","5",15
"471","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",15
"472","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",15
"473","n_chains","4",15
"474","n_cores","12",15
"475","burnin_steps","265",15
"476","saved_steps","564",15
"477","thin_steps","1",15
"478","verbose","FALSE",15
"479","init.K600.daily","7.27",15
"480","Station 1 Time","11.94 mins",15
"481","model_name","b_Kb_oipi_tr_plrckm.stan",16
"482","engine","stan",16
"483","split_dates","FALSE",16
"484","keep_mcmcs","TRUE",16
"485","keep_mcmc_data","TRUE",16
"486","day_start","4",16
"487","day_end","28",16
"488","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",16
"489","required_timestep","NA",16
"490","K600_lnQ_nodes_centers","-3:3",16
"491","GPP_daily_mu","3",16
"492","GPP_daily_lower","-Inf",16
"493","GPP_daily_sigma","2",16
"494","ER_daily_mu","-7.1",16
"495","ER_daily_upper","Inf",16
"496","ER_daily_sigma","7.1",16
"497","K600_lnQ_nodediffs_sdlog","0.5",16
"498","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",16
"499","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",16
"500","K600_daily_sigma_sigma","0.24",16
"501","err_obs_iid_sigma_scale","0.03",16
"502","err_proc_iid_sigma_scale","5",16
"503","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",16
"504","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",16
"505","n_chains","4",16
"506","n_cores","12",16
"507","burnin_steps","268",16
"508","saved_steps","427",16
"509","thin_steps","1",16
"510","verbose","FALSE",16
"511","init.K600.daily","23.15",16
"512","Station 1 Time","5 mins",16
"513","model_name","b_Kb_oipi_tr_plrckm.stan",17
"514","engine","stan",17
"515","split_dates","FALSE",17
"516","keep_mcmcs","TRUE",17
"517","keep_mcmc_data","TRUE",17
"518","day_start","4",17
"519","day_end","28",17
"520","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",17
"521","required_timestep","NA",17
"522","K600_lnQ_nodes_centers","-3:3",17
"523","GPP_daily_mu","3",17
"524","GPP_daily_lower","-Inf",17
"525","GPP_daily_sigma","2",17
"526","ER_daily_mu","-7.1",17
"527","ER_daily_upper","Inf",17
"528","ER_daily_sigma","7.1",17
"529","K600_lnQ_nodediffs_sdlog","0.5",17
"530","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",17
"531","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",17
"532","K600_daily_sigma_sigma","0.24",17
"533","err_obs_iid_sigma_scale","0.03",17
"534","err_proc_iid_sigma_scale","5",17
"535","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",17
"536","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",17
"537","n_chains","4",17
"538","n_cores","12",17
"539","burnin_steps","243",17
"540","saved_steps","314",17
"541","thin_steps","1",17
"542","verbose","FALSE",17
"543","init.K600.daily","27.65",17
"544","Station 1 Time","9.18 mins",17
"545","model_name","b_Kb_oipi_tr_plrckm.stan",18
"546","engine","stan",18
"547","split_dates","FALSE",18
"548","keep_mcmcs","TRUE",18
"549","keep_mcmc_data","TRUE",18
"550","day_start","4",18
"551","day_end","28",18
"552","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",18
"553","required_timestep","NA",18
"554","K600_lnQ_nodes_centers","-3:3",18
"555","GPP_daily_mu","3",18
"556","GPP_daily_lower","-Inf",18
"557","GPP_daily_sigma","2",18
"558","ER_daily_mu","-7.1",18
"559","ER_daily_upper","Inf",18
"560","ER_daily_sigma","7.1",18
"561","K600_lnQ_nodediffs_sdlog","0.5",18
"562","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",18
"563","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",18
"564","K600_daily_sigma_sigma","0.24",18
"565","err_obs_iid_sigma_scale","0.03",18
"566","err_proc_iid_sigma_scale","5",18
"567","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",18
"568","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",18
"569","n_chains","4",18
"570","n_cores","12",18
"571","burnin_steps","387",18
"572","saved_steps","577",18
"573","thin_steps","1",18
"574","verbose","FALSE",18
"575","init.K600.daily","12.55",18
"576","Station 1 Time","4.36 mins",18
"577","model_name","b_Kb_oipi_tr_plrckm.stan",19
"578","engine","stan",19
"579","split_dates","FALSE",19
"580","keep_mcmcs","TRUE",19
"581","keep_mcmc_data","TRUE",19
"582","day_start","4",19
"583","day_end","28",19
"584","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",19
"585","required_timestep","NA",19
"586","K600_lnQ_nodes_centers","-3:3",19
"587","GPP_daily_mu","3",19
"588","GPP_daily_lower","-Inf",19
"589","GPP_daily_sigma","2",19
"590","ER_daily_mu","-7.1",19
"591","ER_daily_upper","Inf",19
"592","ER_daily_sigma","7.1",19
"593","K600_lnQ_nodediffs_sdlog","0.5",19
"594","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",19
"595","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",19
"596","K600_daily_sigma_sigma","0.24",19
"597","err_obs_iid_sigma_scale","0.03",19
"598","err_proc_iid_sigma_scale","5",19
"599","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",19
"600","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",19
"601","n_chains","4",19
"602","n_cores","12",19
"603","burnin_steps","310",19
"604","saved_steps","507",19
"605","thin_steps","1",19
"606","verbose","FALSE",19
"607","init.K600.daily","0.66",19
"608","Station 1 Time","6.27 mins",19
"609","model_name","b_Kb_oipi_tr_plrckm.stan",20
"610","engine","stan",20
"611","split_dates","FALSE",20
"612","keep_mcmcs","TRUE",20
"613","keep_mcmc_data","TRUE",20
"614","day_start","4",20
"615","day_end","28",20
"616","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",20
"617","required_timestep","NA",20
"618","K600_lnQ_nodes_centers","-3:3",20
"619","GPP_daily_mu","3",20
"620","GPP_daily_lower","-Inf",20
"621","GPP_daily_sigma","2",20
"622","ER_daily_mu","-7.1",20
"623","ER_daily_upper","Inf",20
"624","ER_daily_sigma","7.1",20
"625","K600_lnQ_nodediffs_sdlog","0.5",20
"626","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",20
"627","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",20
"628","K600_daily_sigma_sigma","0.24",20
"629","err_obs_iid_sigma_scale","0.03",20
"630","err_proc_iid_sigma_scale","5",20
"631","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",20
"632","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",20
"633","n_chains","4",20
"634","n_cores","12",20
"635","burnin_steps","336",20
"636","saved_steps","515",20
"637","thin_steps","1",20
"638","verbose","FALSE",20
"639","init.K600.daily","18.33",20
"640","Station 1 Time","11.16 mins",20
